Career Categories,,,,,,,,
Photography,Rhythm,Body Balance,Body Movement,Visual,Communication,Physical Senses,,
Game Design & Development,Rhythm,Body Balance,Body Movement,Visual,Communication,Physical Senses,Logic,
UI/UX & Product Design,Rhythm,Body Balance,Body Movement,Visual,Communication,Physical Senses,Logic,Management
Advertising & Creative Direction,Rhythm,Management ,Leadership,Communication,Logic,Visual,Observation,
Psychology & Behavioral Sciences,Rhythm,Management ,Leadership,Visual,Physical Senses,Communication,Observation,
Sociology & Anthropology,Rhythm,Leadership,Visual,Physical Senses,Communication,Observation,,
History & Political Science,Rhythm,Leadership,Visual,Physical Senses,Communication,Observation,Observation,
Philosophy & Ethics,Rhythm,Management ,Visual,Physical Senses,Communication,Observation,,
Linguistics & Languages,Rhythm,Management ,Visual,Physical Senses,Communication,Observation,Observation,
International Relations & Diplomacy,Rhythm,Management ,Leadership,Visual,Physical Senses,Communication,Observation,
Gender Studies,Rhythm,Management ,Leadership,Visual,Logic,Communication,Observation,
Public Policy & Development Studies,Rhythm,Management ,Leadership,Visual,Logic,Communication,Observation,
School & Higher Education Teaching,Rhythm,Communication,Logic,Visual,Observation,Management,,
Special Education,Rhythm,Communication,Logic,Visual,Observation,Management,,
Curriculum Design,Rhythm,Communication,Logic,Visual,Observation,Management,,
Educational Administration,Rhythm,Communication,Logic,Visual,Observation,Management,,
Coaching & Mentoring,Rhythm,Communication,Logic,Visual,Observation,Management,,
EdTech & Instructional Design,Rhythm,Communication,Logic,Visual,Observation,Management,,
Hotel Management,Rhythm,Management ,Leadership,Visual,Body Balance,Body Movement ,Communication,Physical Senses
Culinary Arts,Rhythm,Management ,Leadership,Visual,Body Balance,Body Movement ,Communication,Physical Senses
Event Management,Rhythm,Management ,Leadership,Visual,Body Balance,Body Movement ,Communication,Physical Senses
Travel & Tourism Operations,Rhythm,Management ,Leadership,Visual,Body Balance,Body Movement ,Communication,Physical Senses
"Aviation Services (Cabin Crew, Ground Ops)",Rhythm,Management ,Leadership,Visual,Body Balance,Body Movement ,Communication,Physical Senses
"Civil Services (IAS, IRS, IPS)",Rhythm,Management ,Leadership,Observation,Logic,Communication,Body Movement,
Foreign Services,Rhythm,Management ,Leadership,Observation,Logic,Communication,Body Movement,
Urban Planning & Development,Rhythm,Management ,Leadership,Observation,Logic,Communication,Body Movement,
Public Policy & Governance,Rhythm,Management ,Leadership,Observation,Logic,Communication,Body Movement,
Non-Profit & NGO Sector,Rhythm,Management ,Leadership,Observation,Logic,Communication,Body Movement,
"Defense Forces (Army, Navy, Air Force)",Rhythm,Management ,Leadership,Observation,Logic,Communication,Body Movement,
Environmental Science & Policy,Rhythm,Physical Senses,Management,Leadership,Logic,Communication,Observation,
Renewable Energy,Rhythm,Physical Senses,Management,Leadership,Logic,Communication,Observation,
Wildlife Conservation,Rhythm,Physical Senses,Management,Leadership,Logic,Communication,Observation,Body Movement
Sustainable Architecture,Rhythm,Physical Senses,Management,Leadership,Logic,Communication,Observation,Body Movement
Climate Advocacy,Rhythm,Physical Senses,Management,Leadership,Logic,Communication,Observation,
Sports Coaching & Training,Rhythm,Body Movement ,Body Balance,Logic,Communication,Management,Leadership,Observation
Physical Education,Rhythm,Body Movement ,Body Balance,Communication,Management,,,
Sports Psychology,Rhythm,Body Movement ,Body Balance,Logic,Communication,Management,Leadership,Physical Senses
Athletic Therapy,Rhythm,Body Movement ,Body Balance,Logic,Communication,Management,Leadership,
Personal Training & Wellness Coaching,Rhythm,Body Movement ,Body Balance,Logic,Communication,Management,Observation,
Yoga & Alternative Fitness,Rhythm,Body Movement ,Body Balance,Logic,Communication,Management,Observation,
Agronomy & Crop Science,Rhythm,Body Movement ,Body Balance,Logic,Observation,Communication,Visual,
Horticulture,Rhythm,Body Movement ,Body Balance,Logic,Observation,Communication,Visual,
Animal Husbandry,Rhythm,Body Movement ,Body Balance,Logic,Observation,Communication,Physical Senses,
Agri-Business,Rhythm,Body Movement ,Body Balance,Logic,Observation,Communication,,
Food Technology,Rhythm,Body Movement ,Body Balance,Logic,Observation,Communication,Physical Senses,
Sustainable Farming,Rhythm,Body Movement ,Body Balance,Logic,Observation,Communication,Visual,
Architecture,Rhythm,Visual,Logic,Management,Observation,Physical Senses,Body Balance,
Urban Design & Planning,Rhythm,Visual,Logic,Management,Observation,Physical Senses,Body Balance,
Landscape Architecture,Rhythm,Visual,Logic,Management,Observation,Physical Senses,Body Balance,
Structural Engineering,Rhythm,Visual,Logic,Management,Observation,Body Balance,,
Construction Management,Rhythm,Visual,Logic,Management,Observation,Physical Senses,Body Balance,
Aviation Management,Rhythm,Logic,Visual,Communication,Management,Body Movement ,Observation,
Maritime & Shipping,Rhythm,Logic,Visual,Communication,Management,Body Movement ,Observation,
Railway Engineering,Rhythm,Logic,Visual,Communication,Management,Body Movement ,Observation,
Transport Planning,Rhythm,Logic,Visual,Communication,Management,Body Movement ,Observation,
Supply Chain & Inventory Control,Rhythm,Logic,Visual,Communication,Management,Body Movement ,Observation,
Police Services,Rhythm,Body Movement ,Logic,Visual,Observation,,,
Fire & Rescue,Rhythm,Body Movement ,Logic,Observation,,,,
Cybersecurity,Rhythm,Logic,Visual,Observation,Management,,,
Disaster Management,Rhythm,Body Movement ,Logic,Visual,Observation,,,
Forensic Sciences,Rhythm,Logic,Visual,Observation,Management,,,
